qubits,ideal,noisy
6,"[0.0001,0.0001,0.6,0.4,1.0,0.5,0.4,0.4]","[0.0001,0.0001,0.516129,0.48387095,0.516129,0.5,0.516129,0.5]"
6,"[0.0001,0.0001,1.0,0.0001,1.0,0.0001,1.0,0.5]","[0.0001,0.0001,0.6,0.36,0.84,0.32,0.68,0.44]"
6,"[0.0001,0.0001,0.47540984,0.52459013,0.5081967,0.5081967,0.4918033,0.5081967]","[0.0001,0.0001,0.5,0.5,0.45833334,0.45833334,0.6666667,0.5208333]"
6,"[0.0001,0.0001,0.53333336,1.0,0.53333336,0.46666667,0.46666667,0.53333336]","[0.0001,0.0001,0.5510204,0.59183675,0.63265306,0.46938777,0.48979592,0.48979592]"
6,"[0.0001,0.0001,0.5945946,0.6216216,0.7837838,0.4864865,0.5405405,0.5135135]","[0.0001,0.0001,0.51666665,0.53333336,0.53333336,0.48333332,0.5,0.51666665]"
6,"[0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.63414633,0.4390244,0.4878049,0.5121951,0.34146342,0.46341464]"
6,"[0.0001,0.0001,0.5,0.52380955,0.64285713,0.64285713,0.45238096,0.45238096]","[0.0001,0.0001,0.54545456,0.54545456,0.52272725,0.5681818,0.5,0.72727275]"
6,"[0.0001,0.0001,0.5,0.5,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.5,0.5,0.5,0.5,0.5,0.5]"
6,"[0.0001,0.0001,0.4,0.4,0.2,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.44117647,0.5,0.5,0.85294116,0.5,0.38235295]"
6,"[0.0001,0.0001,0.44827586,0.4827586,0.0001,0.4827586,0.55172414,0.44827586]","[0.0001,0.0001,0.45238096,0.47619048,0.5,0.47619048,0.7619048,0.47619048]"
6,"[0.0001,0.0001,0.47540984,0.4918033,0.47540984,0.47540984,0.5081967,0.4918033]","[0.0001,0.0001,0.6530612,0.53061223,0.4489796,0.48979592,0.4489796,0.48979592]"
6,"[0.0001,0.0001,0.48333332,0.51666665,0.51666665,0.48333332,0.46666667,0.48333332]","[0.0001,0.0001,0.5263158,0.5,0.5,0.5,0.84210527,0.5263158]"
6,"[0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.33333334,0.44444445,0.7777778,0.33333334,0.22222222,0.2777778]"
6,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.0001]","[0.0001,0.0001,0.4920635,0.4920635,0.50793654,0.4920635,0.50793654,0.4920635]"
7,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.5]","[0.0001,0.26666668,0.23333333,0.23333333,0.13333334,0.26666668,0.53333336,0.4]"
7,"[0.0001,0.5,0.5,0.5,0.0001,1.0,0.5,0.5]","[0.0001,0.5043478,0.51304346,0.5304348,0.46086955,0.5478261,0.5217391,0.47826087]"
7,"[0.0001,0.47058824,0.0001,0.47058824,0.47058824,0.05882353,0.5294118,0.47058824]","[0.0001,0.496,0.496,0.496,0.504,0.488,0.488,0.496]"
7,"[0.0001,0.49557522,0.5132743,0.49557522,0.48672566,0.4778761,0.5132743,0.460177]","[0.0001,0.49462366,0.5268817,0.516129,0.68817204,0.516129,0.5483871,0.516129]"
7,"[0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.5]","[0.0001,0.21052632,0.31578946,0.65789473,0.31578946,0.23684211,0.34210527,0.4473684]"
7,"[0.0001,0.5,0.0001,0.33333334,0.6666667,0.0001,0.0001,0.5]","[0.0001,0.5043478,0.5217391,0.4869565,0.47826087,0.44347826,0.51304346,0.53913045]"
7,"[0.0001,0.35416666,0.5208333,0.33333334,0.5208333,0.0001,0.47916666,0.5]","[0.0001,0.4923077,0.50769234,0.50769234,0.9846154,0.50769234,0.4923077,0.4923077]"
7,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.0001,0.0001]","[0.0001,0.38,0.44,0.56,0.52,0.52,0.32,0.34]"
7,"[0.0001,0.5,0.0001,0.0001,0.0001,0.5,0.0001,0.0001]","[0.0001,0.54761904,0.33333334,0.42857143,0.5,0.95238096,0.42857143,0.33333334]"
7,"[0.0001,0.5086207,0.51724136,0.5,0.49137932,0.5,0.49137932,0.5344828]","[0.0001,0.5058824,0.5176471,0.7529412,0.5058824,0.5294118,0.5058824,0.49411765]"
7,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5]","[0.0001,0.28735632,0.4597701,0.4827586,0.49425286,0.4597701,0.43678162,0.6091954]"
8,"[0.5833333,0.0001,0.5,0.0001,0.5,1.0,0.0001,0.6666667]","[0.5,0.16129032,0.5,0.30645162,0.48387095,0.67741936,0.17741935,0.83870965]"
8,"[0.0001,0.0001,0.5,0.5,0.0001,0.0001,0.0001,0.0001]","[0.39784947,0.39784947,0.9677419,0.5268817,0.37634408,0.47311828,0.4408602,0.4516129]"
8,"[0.49315068,0.2739726,0.5205479,0.7123288,0.49315068,0.46575344,0.5479452,0.28767124]","[0.4720812,0.38071066,0.5025381,0.52284265,0.5076142,0.46192893,0.53807104,0.41624364]"
8,"[0.5045872,0.47706422,0.49082568,0.5,0.48623854,0.5045872,0.49541286,0.5]","[0.8648649,0.5405405,0.4864865,0.5135135,0.5135135,0.5202703,0.527027,0.5067568]"
8,"[0.489011,0.5,0.52747256,0.46703297,0.4945055,0.47252747,0.45604396,0.50549453]","[0.50980395,0.503268,0.5163399,0.5163399,0.503268,0.5294118,0.50980395,0.8366013]"
8,"[0.5,0.21052632,0.39473686,0.0001,0.55263156,0.68421054,0.34210527,0.7105263]","[0.5,0.485,0.49,0.495,0.505,0.61,0.53,0.625]"
8,"[0.5192308,0.5769231,0.44230768,0.0001,0.5,0.42307693,0.5769231,0.46153846]","[0.48790324,0.50403225,0.49596775,0.48790324,0.50403225,0.4919355,0.5,0.51209676]"
8,"[0.507772,0.5388601,0.48704663,0.49222797,0.53367877,0.51295334,0.4974093,0.4818653]","[0.5019608,0.5019608,0.5019608,0.49803922,0.5019608,0.5019608,0.5019608,0.5019608]"
8,"[0.45652175,0.65217394,0.5,1.0,0.47826087,0.67391306,0.0001,0.47826087]","[0.49074075,0.5324074,0.5,0.5648148,0.49074075,0.5833333,0.44907406,0.4861111]"
8,"[0.51304346,0.33043477,0.79130435,0.49565217,0.44347826,0.5217391,0.6086956,0.51304346]","[0.5,0.496063,0.503937,0.503937,0.496063,0.5,0.496063,0.496063]"
8,"[0.5,0.0001,0.5,0.0001,0.0001,0.0001,1.0,0.5]","[0.5,0.4609375,0.53125,0.4609375,0.53125,0.4765625,0.953125,0.5234375]"
8,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5]","[0.2835821,0.104477614,0.2238806,0.5671642,0.58208954,0.46268657,0.52238804,0.47761193]"
8,"[0.44751382,0.5138122,0.49171272,0.49723756,0.5469613,0.48618785,0.5524862,0.47513813]","[0.5019608,0.49803922,0.49803922,0.5019608,0.5019608,0.5019608,0.49803922,0.49803922]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.33333334,0.5,0.5,0.33333334]"
4,"[0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.5]","[0.0001,0.0001,0.0001,0.0001,0.71428573,0.85714287,0.5714286,0.2857143]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.53333336,0.53333336,0.53333336,0.46666667]"
4,"[0.0001,0.0001,0.0001,0.0001,0.53333336,0.46666667,0.46666667,0.53333336]","[0.0001,0.0001,0.0001,0.0001,0.53333336,0.53333336,0.53333336,0.46666667]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.45454547,0.54545456,0.72727275,0.45454547]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.42857143,0.5714286,0.5]","[0.0001,0.0001,0.0001,0.0001,0.46153846,0.61538464,0.46153846,0.53846157]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5]","[0.0001,0.0001,0.0001,0.0001,0.41666666,0.33333334,0.41666666,0.5833333]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.5]","[0.0001,0.0001,0.0001,0.0001,0.42857143,0.5714286,0.42857143,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46666667,0.46666667,0.46666667,0.46666667]","[0.0001,0.0001,0.0001,0.0001,0.5833333,0.5833333,0.5833333,0.6666667]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46153846,0.46153846,0.53846157,0.53846157]","[0.0001,0.0001,0.0001,0.0001,0.53846157,0.53846157,0.61538464,0.53846157]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.41666666,0.5833333,0.6666667,0.5]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5714286,0.5714286,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.5714286,0.42857143,0.5,0.5714286]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.6666667,0.41666666,0.5,0.41666666]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46666667,0.46666667,0.53333336,0.53333336]","[0.0001,0.0001,0.0001,0.0001,0.53846157,0.61538464,0.61538464,0.46153846]"
4,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.0001,0.53846157,0.53846157,0.61538464,0.46153846]"
4,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001]","[0.0001,0.0001,0.0001,0.0001,0.5714286,0.42857143,0.5,0.42857143]"
4,"[0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.5]","[0.0001,0.0001,0.0001,0.0001,0.7,0.7,0.4,0.4]"
4,"[0.0001,0.0001,0.0001,0.0001,0.46666667,0.46666667,0.46666667,0.53333336]","[0.0001,0.0001,0.0001,0.0001,0.61538464,0.46153846,0.53846157,0.46153846]"
4,"[0.0001,0.0001,0.0001,0.0001,1.0,0.5,1.0,0.5]","[0.0001,0.0001,0.0001,0.0001,0.61538464,0.46153846,0.61538464,0.53846157]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.5217391,0.6956522,0.5652174,0.39130434,0.5217391]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.4375,0.3125,0.3125,0.3125,0.3125]"
5,"[0.0001,0.0001,0.0001,0.516129,0.48387095,0.516129,0.48387095,0.48387095]","[0.0001,0.0001,0.0001,0.5263158,0.84210527,0.47368422,0.42105263,0.5263158]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.0001,1.0,0.0001]","[0.0001,0.0001,0.0001,0.2857143,0.42857143,0.35714287,0.85714287,0.35714287]"
5,"[0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.4814815,0.5925926,0.5185185,0.4814815,0.44444445]"
5,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.45454547,0.5,0.5,0.4090909,0.4090909]"
5,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.55172414,0.4827586,0.51724136,0.51724136,0.4827586]"
5,"[0.0001,0.0001,0.0001,0.46666667,0.5,0.46666667,0.5,0.46666667]","[0.0001,0.0001,0.0001,0.5,0.45833334,0.6666667,0.5416667,0.5]"
5,"[0.0001,0.0001,0.0001,0.48387095,0.48387095,0.516129,0.48387095,0.48387095]","[0.0001,0.0001,0.0001,0.5185185,0.5185185,0.4814815,0.5925926,0.5185185]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.45833334,0.375,0.6666667,0.5,0.45833334]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.5]","[0.0001,0.0001,0.0001,0.42857143,0.5714286,0.33333334,0.33333334,0.5714286]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.48,0.36,0.4,0.52,0.56]"
5,"[0.0001,0.0001,0.0001,0.48387095,0.48387095,0.516129,0.516129,0.48387095]","[0.0001,0.0001,0.0001,0.4,0.55,0.45,0.8,0.45]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,1.0,0.5]","[0.0001,0.0001,0.0001,0.44444445,0.5,0.5,0.5555556,0.8888889]"
5,"[0.0001,0.0001,0.0001,0.516129,0.48387095,0.48387095,0.48387095,0.48387095]","[0.0001,0.0001,0.0001,0.5,0.5,0.61538464,0.53846157,0.42307693]"
5,"[0.0001,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5]","[0.0001,0.0001,0.0001,0.53571427,0.53571427,0.4642857,0.5714286,0.5]"
5,"[0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.0001,0.0001,0.5,0.3888889,0.2777778,0.3888889,0.33333334]"
5,"[0.0001,0.0001,0.0001,0.5,0.53333336,0.53333336,0.5,0.5]","[0.0001,0.0001,0.0001,0.53333336,0.5,0.53333336,0.46666667,0.5]"
5,"[0.0001,0.0001,0.0001,0.53333336,0.5,0.5,0.46666667,0.46666667]","[0.0001,0.0001,0.0001,0.5185185,0.5925926,0.4814815,0.5185185,0.5185185]"
6,"[0.0001,0.0001,0.46666667,0.51666665,0.5,0.5,0.51666665,0.53333336]","[0.0001,0.0001,0.5,0.5192308,0.61538464,0.53846157,0.5192308,0.48076922]"
6,"[0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.5,0.5]","[0.0001,0.0001,0.48076922,0.5,0.59615386,0.44230768,0.5,0.5576923]"
6,"[0.0001,0.0001,0.50877196,0.49122807,0.49122807,0.5263158,0.54385966,0.5263158]","[0.0001,0.0001,0.5277778,0.5555556,0.5,0.5277778,0.8888889,0.5277778]"
6,"[0.0001,0.0001,0.5,0.5,0.0001,0.5,0.0001,0.0001]","[0.0001,0.0001,0.5254237,0.5084746,0.4915254,0.5084746,0.45762712,0.45762712]"
6,"[0.0001,0.0001,0.4,0.6,0.0001,0.5,0.0001,0.5]","[0.0001,0.0001,0.4509804,0.47058824,0.50980395,0.5882353,0.4509804,0.54901963]"
6,"[0.0001,0.0001,0.5084746,0.5254237,0.4915254,0.47457626,0.4915254,0.5084746]","[0.0001,0.0001,0.5,0.8,0.475,0.525,0.475,0.575]"
6,"[0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,1.0]","[0.0001,0.0001,0.45762712,0.47457626,0.47457626,0.5254237,0.5084746,0.5423729]"
6,"[0.0001,0.0001,0.4918033,0.5081967,0.5081967,0.4918033,0.5081967,0.4918033]","[0.0001,0.0001,0.50980395,0.50980395,0.5294118,0.627451,0.5294118,0.54901963]"
6,"[0.0001,0.0001,0.5254237,0.5084746,0.47457626,0.47457626,0.5084746,0.5254237]","[0.0001,0.0001,0.4883721,0.5116279,0.53488374,0.74418604,0.4651163,0.4883721]"
6,"[0.0001,0.0001,0.5,0.5,0.0001,1.0,0.5,0.0001]","[0.0001,0.0001,0.6216216,0.5675676,0.3243243,0.6756757,0.5135135,0.3783784]"
6,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.5]","[0.0001,0.0001,0.48333332,0.5,0.46666667,0.5,0.48333332,0.48333332]"
6,"[0.0001,0.0001,0.5,0.0001,0.0001,0.5,0.5,0.5]","[0.0001,0.0001,0.53846157,0.34615386,0.34615386,0.96153843,0.5,0.5]"
6,"[0.0001,0.0001,0.5,0.516129,0.5,0.516129,0.516129,0.516129]","[0.0001,0.0001,0.9411765,0.5,0.5,0.5,0.5294118,0.5]"
6,"[0.0001,0.0001,0.516129,0.5,0.516129,0.5,0.5,0.48387095]","[0.0001,0.0001,0.5116279,0.74418604,0.53488374,0.5116279,0.4883721,0.4883721]"
6,"[0.0001,0.0001,0.4814815,0.44444445,0.44444445,0.4814815,0.5185185,0.0001]","[0.0001,0.0001,0.5,0.48333332,0.48333332,0.48333332,0.5,0.46666667]"
6,"[0.0001,0.0001,0.0001,0.5,0.0001,0.5,0.0001,0.0001]","[0.0001,0.0001,0.46666667,0.53333336,0.48333332,0.48333332,0.48333332,0.51666665]"
6,"[0.0001,0.0001,1.0,0.5,0.5,1.0,0.0001,1.0]","[0.0001,0.0001,0.5740741,0.5,0.46296296,0.5740741,0.46296296,0.4814815]"
6,"[0.0001,0.0001,0.5,0.0001,0.0001,0.5,1.0,0.5]","[0.0001,0.0001,0.4864865,0.4864865,0.3783784,0.5675676,0.8108108,0.5135135]"
6,"[0.0001,0.0001,0.51724136,0.51724136,0.5344828,0.4827586,0.5,0.51724136]","[0.0001,0.0001,0.45454547,0.5,0.47727272,0.45454547,0.72727275,0.5]"
6,"[0.0001,0.0001,0.5,0.5,0.5,0.5,0.0001,0.0001]","[0.0001,0.0001,0.5084746,0.5084746,0.4915254,0.45762712,0.45762712,0.45762712]"
6,"[0.0001,0.0001,0.5714286,0.2857143,0.0001,0.5714286,0.71428573,0.5714286]","[0.0001,0.0001,0.4915254,0.5084746,0.47457626,0.5084746,0.5423729,0.5423729]"
6,"[0.0001,0.0001,0.4915254,0.4915254,0.5084746,0.47457626,0.5084746,0.5084746]","[0.0001,0.0001,0.50980395,0.5294118,0.5686275,0.627451,0.5294118,0.50980395]"
6,"[0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001,0.5]","[0.0001,0.0001,0.4920635,0.4920635,0.4920635,0.4920635,0.4920635,0.4920635]"
7,"[0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001]","[0.0001,0.43209878,0.4814815,0.44444445,0.4691358,0.45679012,0.2345679,0.4814815]"
7,"[0.0001,0.0001,0.5,0.5,0.0001,0.0001,0.0001,1.0]","[0.0001,0.4597701,0.54022986,0.5632184,0.42528737,0.41379312,0.4597701,0.7126437]"
7,"[0.0001,0.984127,0.4920635,0.4920635,0.4920635,0.52380955,0.47619048,0.50793654]","[0.0001,0.50793654,0.5,0.5,0.50793654,0.5,0.50793654,0.50793654]"
7,"[0.0001,0.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.5833333,0.3611111,0.19444445,0.4722222,0.44444445,0.9444444,0.33333334]"
7,"[0.0001,0.0001,0.75,0.0001,0.5,0.5,0.5,0.0001]","[0.0001,0.5046729,0.53271025,0.45794392,0.5046729,0.5233645,0.5046729,0.47663552]"
7,"[0.0001,1.0,0.53846157,0.53846157,0.07692308,0.30769232,0.0001,0.61538464]","[0.0001,0.52459013,0.5081967,0.5,0.5081967,0.4918033,0.47540984,0.48360655]"
7,"[0.0001,0.52380955,0.47619048,0.7619048,0.7619048,0.52380955,0.47619048,0.0001]","[0.0001,0.4957265,0.4871795,0.5470086,0.47008547,0.50427353,0.4871795,0.46153846]"
7,"[0.0001,0.47474748,0.5555556,0.46464646,0.5151515,0.5050505,0.46464646,0.5151515]","[0.0001,0.49275362,0.5072464,0.49275362,0.5072464,0.47826087,0.49275362,0.92753625]"
7,"[0.0001,0.5,0.5,0.0001,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.48333332,0.5,0.475,0.475,0.46666667,0.475,0.48333332]"
7,"[0.0001,0.5,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.5365854,0.09756097,0.5609756,0.31707317,0.31707317,0.4390244,0.2195122]"
7,"[0.0001,0.0001,0.5,0.5,0.0001,0.5,0.0001,0.0001]","[0.0001,0.18181819,0.36363637,0.3030303,0.24242425,0.3939394,0.3030303,0.3030303]"
7,"[0.0001,0.5,0.5,0.4814815,0.4722222,0.4814815,0.46296296,0.4722222]","[0.0001,0.53846157,0.51282054,0.5,0.51282054,0.5,0.82051283,0.55128205]"
7,"[0.0001,0.5140187,0.5140187,0.53271025,0.48598132,0.49532712,0.5046729,0.5233645]","[0.0001,0.52112675,0.53521127,0.47887325,0.5070422,0.46478873,0.90140843,0.47887325]"
7,"[0.0001,0.5,0.5,0.0001,0.5,0.5,0.5,0.0001]","[0.0001,0.49137932,0.51724136,0.45689654,0.5086207,0.4827586,0.49137932,0.44827586]"
7,"[0.0001,0.0001,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.0001,0.5,0.49074075,0.49074075,0.4074074,0.41666666,0.46296296,0.4814815]"
7,"[0.0001,0.44444445,1.0,0.5555556,0.6111111,0.0001,0.6666667,0.5]","[0.0001,0.51578945,0.6526316,0.48421052,0.58947366,0.44210526,0.5368421,0.51578945]"
7,"[0.0001,0.5116279,0.4651163,0.5116279,0.37209302,0.55813956,0.9767442,0.23255815]","[0.0001,0.50406504,0.4878049,0.50406504,0.4878049,0.50406504,0.5203252,0.4796748]"
7,"[0.0001,0.0001,0.5,1.0,0.5,0.5,1.0,0.0001]","[0.0001,0.24,0.6,0.64,0.44,0.96,0.76,0.2]"
7,"[0.0001,0.0001,0.5714286,0.5714286,0.5714286,0.5,1.0,0.5]","[0.0001,0.5043478,0.5304348,0.5304348,0.51304346,0.5043478,0.5043478,0.53913045]"
7,"[0.0001,0.0001,0.0001,0.0001,0.0001,0.5,0.0001,0.0001]","[0.0001,0.24,0.24,0.16,0.28,0.52,0.24,0.24]"
7,"[0.0001,0.4854369,0.46601942,0.5145631,0.46601942,0.4368932,0.46601942,0.4563107]","[0.0001,0.4878049,0.5243902,0.5,0.5121951,0.7804878,0.5,0.5365854]"
7,"[0.0001,0.47826087,0.0001,0.65217394,0.5217391,0.5217391,0.3478261,0.0001]","[0.0001,0.460177,0.48672566,0.5132743,0.539823,0.5575221,0.46902654,0.48672566]"
7,"[0.0001,0.5294118,0.9411765,0.0001,0.47058824,0.0001,0.47058824,0.5294118]","[0.0001,0.5322581,0.7419355,0.32258064,0.41935483,0.22580644,0.48387095,0.5322581]"
7,"[0.0001,0.5576923,0.0001,0.53846157,0.5192308,0.5192308,0.59615386,0.53846157]","[0.0001,0.5163934,0.47540984,0.52459013,0.5163934,0.4918033,0.5163934,0.5]"
7,"[0.0001,0.34375,0.21875,0.5,0.46875,1.0,0.5625,0.53125]","[0.0001,0.49586776,0.49586776,0.5206612,0.5206612,0.5289256,0.5123967,0.4876033]"
7,"[0.0001,0.5,0.5,0.6666667,1.0,1.0,0.5,0.6666667]","[0.0001,0.92753625,0.5072464,0.5217391,0.47826087,0.49275362,0.49275362,0.49275362]"
7,"[0.0001,0.5,0.0001,0.5,1.0,0.5,0.5,0.0001]","[0.0001,0.5,0.4512195,0.47560975,0.58536583,0.5121951,0.5,0.2682927]"
7,"[0.0001,0.0001,0.5,0.5,0.5,0.0001,0.5,0.0001]","[0.0001,0.47311828,0.516129,0.4623656,0.4516129,0.4623656,0.53763443,0.38709676]"
7,"[0.0001,0.45535713,0.49107143,0.5,0.49107143,0.52678573,0.5,0.5089286]","[0.0001,0.50574714,0.52873564,0.49425286,0.52873564,0.4827586,0.4827586,0.7356322]"
7,"[0.0001,0.0001,0.0001,0.0001,0.5,1.0,0.0001,0.5]","[0.0001,0.38235295,0.48039216,0.4117647,0.5,0.5392157,0.42156863,0.5]"
7,"[0.0001,0.47826087,0.5,0.47826087,1.0,0.5217391,0.5,0.3478261]","[0.0001,0.4878049,0.50406504,0.49593496,0.5121951,0.49593496,0.4796748,0.4796748]"
7,"[0.0001,0.4774775,0.4774775,0.5045045,0.4774775,0.4864865,0.4954955,0.5045045]","[0.0001,0.7111111,0.5,0.53333336,0.5,0.5222222,0.5,0.51111114]"
8,"[0.6666667,0.33333334,0.0001,0.5,0.0001,0.0001,0.0001,0.0001]","[0.6166667,0.35,0.31666666,0.51666665,0.15,0.15,0.28333333,0.31666666]"
